name;cpu_weight;net_weight
udafirridith;10000;10000
udaguenicele;10000;10000
uducemenrico;10000;10000
udulfhelagor;10000;10000
uduwalcumhal;10000;10000
uederuffuddy;10000;10000
ueporganinus;10000;10000
ueporigirien;10000;10000
ueporkaupman;10000;10000
ueporoninoth;10000;10000
ueportimagun;10000;10000
ueqoricourse;10000;10000
uhtregwynfys;10000;10000
uialliffanus;10000;10000
uialypatrigh;10000;10000
uialyvevalen;10000;10000
uianbertinya;10000;10000
uibhnerothra;10000;10000
uigseannenad;10000;10000
uilestusalay;10000;10000
uilewenkella;10000;10000
uilleseibias;10000;10000
uillewiduthe;10000;10000
uillicerbert;10000;10000
uilliptheses;10000;10000
uilorinewulf;10000;10000
uirchervicca;10000;10000
uirgaconters;10000;10000
uirithenthas;10000;10000
uislinikelli;10000;10000
uisnarbhirth;10000;10000
uissoscardol;10000;10000
ulbergaladur;10000;10000
ulcarpittarl;10000;10000
uldeiciliona;10000;10000
ulfalkelbert;10000;10000
ulfedenbaude;10000;10000
ulgallemanni;10000;10000
uliobeleraid;10000;10000
ulishaurenia;10000;10000
ulmichidhede;10000;10000
ulmorgirimur;10000;10000
ulricheelies;10000;10000
ulsonsuendir;10000;10000
ulteleckiney;10000;10000
ultenefrelif;10000;10000
ultenthr1555;10000;10000
ultenthr3444;10000;10000
ultenthrorda;10000;10000
ulteristeite;10000;10000
ultersothiel;10000;10000
ulvegioriath;10000;10000
ulveriarlena;10000;10000
ulvermelvynn;10000;10000
ulverovannay;10000;10000
ulwaraglorix;10000;10000
ulwealaridet;10000;10000
umailcheredy;10000;10000
umbasborotto;10000;10000
umileahthrus;10000;10000
umquamaborga;10000;10000
unadannannis;10000;10000
unfeandorlei;10000;10000
ungarenaelsy;10000;10000
unginogenyth;10000;10000
ungolasteith;10000;10000
ungolvagdaes;10000;10000
ungorgentine;10000;10000
unguartholly;10000;10000
ungunduatrin;10000;10000
unicermichel;10000;10000
unnoggodgare;10000;10000
unphearnagor;10000;10000
unphegalence;10000;10000
unphegalraic;10000;10000
unpiesenthet;10000;10000
untedraumbas;10000;10000
unwalmadelee;10000;10000
unwanefinneu;10000;10000
unwicherilyn;10000;10000
unwinerothet;10000;10000
unwingazrald;10000;10000
uos;10000;10000
uos.activity;10000000;10000000
uos.calcs;110000000;10000001
uos.calcs1;10000000;10000000
uos.holder;1000000000000;1000000000000
uosabaledger;10000000;10000000
uosargentina;10000;10000
uosmatrix123;10000000;10000000
uospatagonia;10000;10000
uospotential;10000;10000
uosriobrazil;130000000;20000000
uosrussiacom;10000000;10000000
uosswedenorg;10000000;10000000
uostelosdac1;10000;10000
uostribeprod;2010010000;310010000
uosvenezuela;10000000;10000000
upponkellenn;10000;10000
uptadianorig;10000;10000
upwodeglinda;10000;10000
upwodenishaw;10000;10000
urabaymunzel;10000;10000
urathmanisor;10000;10000
urbaithernod;10000;10000
urbelatillon;10000;10000
urberlastiny;10000;10000
urfaibalismo;10000;10000
urfaidhellah;10000;10000
urfelinnifer;10000;10000
urfellaiglin;10000;10000
urgaladiccus;10000;10000
uriencalvynn;10000;10000
urienessoset;10000;10000
urinaldebern;10000;10000
urindorterix;10000;10000
urinevrouges;10000;10000
urissobertur;10000;10000
urlouchtacus;10000;10000
urminetberci;10000;10000
urthgellenan;10000;10000
urthurferdis;10000;10000
uruiliwynley;10000;10000
urusgaladhna;10000;10000
urutharidiun;10000;10000
urutheraphon;10000;10000
urutinduhink;10000;10000
usalnibergil;10000;10000
usernameseva;10000;10000
uskippinerid;10000;10000
uskutaterbel;10000;10000
uslaketilden;10000;10000
usnaeluinhil;10000;10000
usnaignedheh;10000;10000
uthianothrin;10000;10000
uthleistedis;10000;10000
uthmasorrant;10000;10000
uthwoldelbet;10000;10000
utodaynews11;10000;10000
utsavjaiswal;10000;10000
uttanishalad;10000;10000
uttelegelsey;10000;10000
uttesifinnis;10000;10000
uttesisburga;10000;10000
uttocniventa;10000;10000
uttorridliag;10000;10000
uuolofarrank;10000;10000
uwairfindura;10000;10000
uzandubharth;10000;10000
vaciladorzms;50000;50000
valdemarrooo;10000;10000
valentinrusi;10000;10000
vasyapupki11;3000;3000
vasyapupkin1;272630000;30000
vasyapupkin5;10000;10000
veltadestian;10000;10000
victsygankov;10000;10000
vikevikihema;10000;10000
vladislav123;10000;10000
vladpe123123;10000;10000
warmsnowtree;10000;10000
warrenbuffet;10000;10000
weare1degree;10000;10000
wezeibekwe55;10000;10000
whoisthedadd;10000;10000
whosyourdady;10000;10000
williamjiang;10000;10000
willians3412;10000;10000
wolfinflames;10000;10000
workin123451;10000;10000
workinworkin;10000;10000
xxanimus23xx;60000;60000
xxtigertoexx;10000;10000
xxxxxxxxxxxx;10000;10000
yahoooooobot;130000;140000
yanushyanush;10000;10000
yashskullfo1;510000;510000
yashskullfox;100000;100000
ylvdeveloper;10000;10000
yopuryopury1;10000;10000
yopuryopuryo;15510000;15510000
zenthosiacom;10000;10000
